Number,Postion,Company,Location,URL
29,[선릉역] 신호처리(석박사급,MatLab,Python)의 전체 세부 정보,시니어앤파트너즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=7c751b226ddb504c&fccid=59060ddcdf96b101&vjs=3
30,LIG넥스원 SW직무 수시(신입, 경력, 전문연구요원)의 전체 세부 정보,LIG넥스원,성남 분당구,https://kr.indeed.com/rc/clk?jk=22bc188ada739a84&fccid=53987d2c47135867&vjs=3
31,[선릉역] 신호처리(석박사급,MatLab,Python)의 전체 세부 정보,시니어앤파트너즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=7c751b226ddb504c&fccid=59060ddcdf96b101&vjs=3
32,JR0192526 SW engineer intern의 전체 세부 정보,인텔코리아,서울,https://kr.indeed.com/rc/clk?jk=83f4939522ffaa68&fccid=ded06d6a6799d929&vjs=3
33,Software Engineer (Virtualization)의 전체 세부 정보,BOEING,서울,https://kr.indeed.com/rc/clk?jk=977861689a5d76c8&fccid=edae4285faf6c2f0&vjs=3
34,[정규직 / 역세권] Python 개발자의 전체 세부 정보,키온비트,서울 강남구,https://kr.indeed.com/rc/clk?jk=d99a17784602a771&fccid=9a888c50ca3f400a&vjs=3
35,Data Scientist의 전체 세부 정보,Toss,서울,https://kr.indeed.com/rc/clk?jk=9cb8324539546a71&fccid=18c4935c8ec646d5&vjs=3
36,가상자산 트레이딩 / 시스템 개발자의 전체 세부 정보,블록투리얼,서울 강남구,https://kr.indeed.com/rc/clk?jk=c04680232735292a&fccid=a0245242cd542697&vjs=3
37,차량 데이터 서비스 기획의 전체 세부 정보,기아,서울 서초구,https://kr.indeed.com/rc/clk?jk=29005c64c83bebf1&fccid=4407ef3f1668028b&vjs=3
38,[신입]백엔드 개발자의 전체 세부 정보,엘리스,서울 강남구,https://kr.indeed.com/rc/clk?jk=b49175f39df025f6&fccid=b00d4b329a5fe2ac&vjs=3
39,[선행기술원] Quantum Information - 양자 알고리즘[책임연구원]의 전체 세부 정보,현대자동차그룹,성남 판교역,https://kr.indeed.com/rc/clk?jk=95bead20034b3ade&fccid=980d6ecc399a3373&vjs=3
40,데이터 파이프라인 개발자 (신입)의 전체 세부 정보,이마고웍스,서울 강남구,https://kr.indeed.com/rc/clk?jk=a58912dfa0133539&fccid=1c5712d7c48c7685&vjs=3
41,[HYBE] 데이터분석 (Data Engineer)의 전체 세부 정보,하이브,서울 용산구,https://kr.indeed.com/rc/clk?jk=cfd5fd0054a716c1&fccid=55c46c15186153ee&vjs=3
