Number,Postion,Company,Location,URL
1,라인프렌즈[IPX] 2022년 각 부문 수시의 전체 세부 정보,IPX,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=e6548a8408f0612b&vjs=3
2,Data Scientist의 전체 세부 정보,이몰디노,서울 중구,https://kr.indeed.com/rc/clk?jk=377c5ba87cf475d8&fccid=8211d0d9599042ef&vjs=3
3,데이터분석 신입/경력 정규직의 전체 세부 정보,블록스퀘어서울,서울 서초구,https://kr.indeed.com/rc/clk?jk=88960e11c2cdd682&fccid=72348558bd9456ba&vjs=3
4,경영기획/분석 담당자의 전체 세부 정보,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=0b248604271c6ca5&fccid=aea6a13a3459fdb2&vjs=3
5,인공지능(AI) 기술 개발(신입)의 전체 세부 정보,RGA Inc.,서울 강남역,https://kr.indeed.com/company/RGA-Inc./jobs/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-95a7a9b4c00f9ada?fccid=55527aef9e133b8f&vjs=3
6,[양재역] 데이터분석(석박사급 R Python Matlab)의 전체 세부 정보,시니어앤파트너즈,서울 서초구,https://kr.indeed.com/rc/clk?jk=ce71e040d5a36470&fccid=59060ddcdf96b101&vjs=3
7,딥러닝 영상 인식 Researcher의 전체 세부 정보,앤씨앤,성남 분당구,https://kr.indeed.com/rc/clk?jk=ef349527eaafb014&fccid=e0ebb3045283ebe8&vjs=3
8,Associate Consultant Intern의 전체 세부 정보,Mastercard,서울,https://kr.indeed.com/rc/clk?jk=acf53a07a0c4d06f&fccid=10b5c722d846df43&vjs=3
9,[데브시스터즈] DevOps Engineer (신입)의 전체 세부 정보,데브시스터즈,서울 강남구,https://kr.indeed.com/rc/clk?jk=3058f7280a2e6644&fccid=58a9a803698a0afd&vjs=3
10,2023 Software Engineering Intern의 전체 세부 정보,Google,서울,https://kr.indeed.com/rc/clk?jk=495da9eebc1b719f&fccid=a5b4499d9e91a5c6&vjs=3
