Number,Postion,Company,Location,URL
32,코박(Cobak) Back-end 개발 경력 정규직의 전체 세부 정보,판도라티비,성남 분당구,https://kr.indeed.com/rc/clk?jk=5459853135ad5938&fccid=3e84dca286e83acb&vjs=3
33,IT(앱/웹) 개발 및 서비스 운영관리  IT R&D 외 경력의 전체 세부 정보,허니엠앤비,안산 단원구,https://kr.indeed.com/rc/clk?jk=7413ab9a269ef3bc&fccid=0f3be38cbde91546&vjs=3
34,웹 프론트엔드 개발자의 전체 세부 정보,프루팅,서울 서초구,https://kr.indeed.com/rc/clk?jk=f3814da45c7f7954&fccid=b9e07afb18613786&vjs=3
35,머신러닝  딥러닝 외 경력의 전체 세부 정보,마켓오브메테리얼,울산 울주군,https://kr.indeed.com/rc/clk?jk=73727eb9b279a6a3&fccid=606aec63eb72f6c0&vjs=3
36,[Lighthouse] AI Solution 서버 개발자 정규직 채용의 전체 세부 정보,삼정 KPMG,서울 강남구,https://kr.indeed.com/rc/clk?jk=93eebe353ab13da3&fccid=7651bf7c7525e8f6&vjs=3
37,MVP 개발 엔지니어(서버  웹프론트) (정규직  계약직  프리랜서)의 전체 세부 정보,더테스터,대전 중구,https://kr.indeed.com/rc/clk?jk=1748baa27965fdbf&fccid=948325a69d70601e&vjs=3
38,서울 강남구 인썸니아 시니어 개발자 및 퍼블리셔의 전체 세부 정보,인썸니아,서울 서초구,https://kr.indeed.com/rc/clk?jk=6c1d50662fa2d7f7&fccid=71bba75c2a7d79a0&vjs=3
39,Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript의 전체 세부 정보,버드뷰,서울 마포구,https://kr.indeed.com/rc/clk?jk=3292e81e43884c67&fccid=ab4d16fa7d63885d&vjs=3
40,CTO 영입의 전체 세부 정보,투이 컨설팅,대한민국,https://kr.indeed.com/rc/clk?jk=9cfa77d3af687ca2&fccid=d419a5149f49c794&vjs=3
41,Senior Software Engineer의 전체 세부 정보,Bear Robotics,서울,https://kr.indeed.com/rc/clk?jk=e04d226a6130df5e&fccid=d7230dda285fd6ea&vjs=3
42,ICT 분야 웹 개발자 상반기 경력직 채용 모집의 전체 세부 정보,꿀비,대전 만년동,https://kr.indeed.com/rc/clk?jk=3de415f3b22cace2&fccid=ebfbd1d5051bf9c7&vjs=3
43,스타트업/인공지능연구소 Job사이트 DevOps/개발팀장급/백엔드의 전체 세부 정보,파이오니어에이아이연구소,서울 서초구,https://kr.indeed.com/rc/clk?jk=b6afa22832e54919&fccid=0d253babe88fcb13&vjs=3
44,[위메프] 보안 R&D Engineer의 전체 세부 정보,위메프,대한민국,https://kr.indeed.com/rc/clk?jk=10e19859fd3d47e3&fccid=2f8799a5ef214646&vjs=3
45,(주)아이엠비디엑스 IT의 전체 세부 정보,주식회사 아이엠비디엑스 관심기업,서울 가산동,https://kr.indeed.com/rc/clk?jk=be45390c17fec256&fccid=bed0ac165b0ca5bd&vjs=3
46,[(주)인브레인에이아이] Android  iOS 외 경력 정규직의 전체 세부 정보,인브레인에이아이,서울 금천구,https://kr.indeed.com/rc/clk?jk=27e78d108c59c27a&fccid=fcfaa1d6661c9175&vjs=3
47,[Lighthouse] AI Solution 서버 개발자 정규직 채용의 전체 세부 정보,KPMG-Korea,대한민국,https://kr.indeed.com/rc/clk?jk=d6c891d4878a07fc&fccid=2dd390c3a48a7ed0&vjs=3
48,(Seoul) Backend Engineer · AI Platform의 전체 세부 정보,Lunit,서울,https://kr.indeed.com/rc/clk?jk=7744016435feff34&fccid=9fd48ddc5e331d0e&vjs=3
49,백엔드 개발 경력직의 전체 세부 정보,외국계 대형 플랫폼사,대한민국,https://kr.indeed.com/rc/clk?jk=95bd159ef92b4469&fccid=a524028bdd057515&vjs=3
50,SW Engineer 경력자 모집의 전체 세부 정보,(주)모아데이타 관심기업 코스닥,성남 시흥동,https://kr.indeed.com/rc/clk?jk=a54f0568ca213411&fccid=e089c848ed0c4599&vjs=3
51,Software Engineer의 전체 세부 정보,Bear Robotics,서울,https://kr.indeed.com/rc/clk?jk=b3a8771733edfd23&fccid=d7230dda285fd6ea&vjs=3
52,웹 개발직 반기 경력직 채용공고의 전체 세부 정보,꿀비,대전 만년동,https://kr.indeed.com/rc/clk?jk=0729eb32bd84b2e7&fccid=ebfbd1d5051bf9c7&vjs=3
53,전기전자컴퓨터공학부(지능형 생명정보 연구실) 위촉연구원(시간제)의 전체 세부 정보,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=ab10dd36e38c9106&fccid=617504e506359426&vjs=3
54,Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript의 전체 세부 정보,버드뷰,서울 마포구,https://kr.indeed.com/rc/clk?jk=3292e81e43884c67&fccid=ab4d16fa7d63885d&vjs=3
55,CTO 영입의 전체 세부 정보,투이 컨설팅,대한민국,https://kr.indeed.com/rc/clk?jk=9cfa77d3af687ca2&fccid=d419a5149f49c794&vjs=3
56,Senior Software Engineer의 전체 세부 정보,Bear Robotics,서울,https://kr.indeed.com/rc/clk?jk=e04d226a6130df5e&fccid=d7230dda285fd6ea&vjs=3
57,ICT 분야 웹 개발자 상반기 경력직 채용 모집의 전체 세부 정보,꿀비,대전 만년동,https://kr.indeed.com/rc/clk?jk=3de415f3b22cace2&fccid=ebfbd1d5051bf9c7&vjs=3
58,(주)아이엠비디엑스 IT의 전체 세부 정보,주식회사 아이엠비디엑스 관심기업,서울 가산동,https://kr.indeed.com/rc/clk?jk=be45390c17fec256&fccid=bed0ac165b0ca5bd&vjs=3
